ORIGIN ID,ORIGIN CODE,ORIGIN NAME,ORIGIN COUNTRY CODE,ORIGIN LATITUDE,ORIGIN LONGITUDE,DESTINATION ID,DESTINATION CODE,DESTINATION NAME,DESTINATION COUNTRY CODE,DESTINATION LATITUDE,DESTINATION LONGITUDE,PRODUCT ID,PRODUCT CODE,PRODUCT NAME,PRODUCT CATEGORY,PRODUCT TYPE,TYPE OF LEG,VEHICLE MODEL ID,TIME PERIOD,QUANTITY,WEIGHT MOVED,TRANSPORTATION COST,TARIFF COST,DUTY COST,IN-TRANSIT INVENTORY COST,TOTAL LEAD TIME
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,06-2021,22146.0,162.965,285.19,0.0,0.0,661.7694520225508,1.0
DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,DC_99970_HONG_KONG_1_TUG,DC_99970_HONG_KONG_1_TUG,HK WH,,22.3193,114.16,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,05-2021,19983.0,147.049,257.335,0.0,0.0,597.1344242647266,1.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,09-2021,174489.0,1284.01,72589.362,0.0,0.0,10428.20282795655,62.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,S-F,40_Feet_Container,02-2021,5983.632526996,9.574,16.754,0.0,0.0,114.28738126562362,31.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,TUG_CKW_CAROUSEL_COTTON_TRIM,,,,RAW_MATERIAL,S-F,40_Feet_Container,01-2021,128353.2,205.365,359.389,0.0,0.0,147.60618,31.0
L1_10_MAS_BGD_TUG,L1_10_MAS_BGD_TUG,MAS_Bangladesh,,22.3304,91.8326,DC_99970_HONG_KONG_TUG,DC_99970_HONG_KONG_TUG,HK WH,,22.3193,114.16,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,07-2021,2097.0,15.431,463.449,0.0,0.0,125.32561554152346,47.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,04-2021,38049.0,279.991,10779.641,0.0,11369.848225415892,2273.969645083179,52.613
GDEUML_TUG,GDEUML_TUG,EU WH,,54.526,15.255,GDEUML_1_TUG,GDEUML_1_TUG,EU WH,,54.526,15.255,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,07-2021,3407.0,25.071,43.874,0.0,0.0,187.17930274977005,1.0
W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,05-2021,9540.0,70.202,122.853,0.0,0.0,524.1240235494001,1.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,23.6345,-102.55,DC_JV_Baseco_Mexico_1_TUG,DC_JV_Baseco_Mexico_1_TUG,MEX WH,,23.6345,-102.55,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,06-2021,33726.0,248.179,434.313,0.0,0.0,1007.804413388989,1.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,10-2021,10451.0,76.906,134.585,0.0,0.0,312.2980467392612,1.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,09-2021,125.0,0.92,1.61,0.0,0.0,6.867453138750002,1.0
W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,06-2021,420.0,3.091,5.409,0.0,0.0,23.074642546200007,1.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_99949_CHINA_TUG,DC_99949_CHINA_TUG,CHINA WH,,35.8617,104.19,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,05-2021,18971.0,139.602,4153.149,0.0,0.0,1133.7874355928668,47.613
W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,09-2021,2575.0,18.949,33.16,0.0,0.0,76.94646161645753,1.0
L2_99_TEEJAY_TUG,L2_99_TEEJAY_TUG,TEEJAY_SRI LANKA,,6.9531,80.2056,L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,TUG_CKW_CAROUSEL_COTTON_MBF,,,,RAW_MATERIAL,S-F,40_Feet_Container,03-2021,26123.323360259,41.797,73.145,0.0,0.0,997.910952361894,31.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,W-R,40_Feet_Container,10-2021,66.0,0.486,0.85,0.0,0.0,3.626015257260001,1.0
DC_JV_Baseco_Mexico_TUG,DC_JV_Baseco_Mexico_TUG,MEX WH,,23.6345,-102.55,DC_JV_Baseco_Mexico_1_TUG,DC_JV_Baseco_Mexico_1_TUG,MEX WH,,23.6345,-102.55,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,07-2021,17307.0,127.357,222.874,0.0,0.0,517.1698684256429,1.0
DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,DC_JV_Australia_Australia_1_TUG,DC_JV_Australia_Australia_1_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,04-2021,72570.0,534.02,934.535,0.0,0.0,2168.5455221383777,1.0
W06_TUG,W06_TUG,Canada WH,,45.4215,-75.697,W06_1_TUG,W06_1_TUG,Canada WH,,45.4215,-75.697,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,W-R,40_Feet_Container,05-2021,1066960.0,7851.425,13739.993,0.0,0.0,31883.02783933807,1.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_JV_Australia_Australia_TUG,DC_JV_Australia_Australia_TUG,AUS WH,,-35.2809,149.13,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,F-W,40_Feet_Container,03-2021,16299.0,119.939,4617.661,0.0,8954.609496678902,1790.9218993357806,57.0
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,DC_99953_KOREA_TUG,DC_99953_KOREA_TUG,KR WH,,35.9078,127.76,TUG_CKW_CAROUSEL_COTTON,,,,MANUFACTURED,F-W,40_Feet_Container,05-2021,800.0,5.887,226.648,0.0,0.0,47.81139362576002,52.613
L1_12_MAS_SRI_TUG,L1_12_MAS_SRI_TUG,MAS_Sri Lanka,,6.9344,79.8428,W46_TUG,W46_TUG,US WH,,37.0902,-95.712,TUG_CKW_CAROUSEL_SYNTHETIC,,,,MANUFACTURED,F-W,40_Feet_Container,04-2021,45676.0,336.115,17646.058,0.0,85320.35876182828,7528.266949573083,65.0
